Subject,Overall Frequency,tec,mas,fer,phy,bau,arc,geo,his,sow,elt,inf,oek,rel,jur,mat,pae,hor,meda,rest,cet,che,lin,phi,lit,bio,spo,ver,ber,med
Chip,16,1,1,0,1,0,0,0,0,0,8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Schultheater,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,2,1,0,2,0,3,0,0,0,0,0
Gouvernementalität,16,0,0,0,0,0,1,0,1,7,0,1,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0
Bewegungslehre,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,10,0,0,0
Radionuklid,16,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0
Literarische Gestalt,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,8,0,0,0,0,0
Jahreslauf,16,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,6,2,0,0,0,0,0,0,0,1,3,0,0,0
Anatomie,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,4,3,0,0,0
Twitter Softwareplattform,16,0,0,0,0,0,0,0,0,2,0,4,3,0,1,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0
Soziale Kosten,16,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0
Pornografie,16,0,0,0,0,0,0,0,0,10,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Wohnung,16,0,0,0,0,1,9,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rauigkeit,16,2,3,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Datenqualität,16,1,0,0,0,0,0,0,0,2,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Material,16,0,0,2,2,3,4,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Lesekultur,16,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0
Oszillator,16,1,0,0,9,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Materialbearbeitung,16,1,8,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Differentialoperator,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carsharing,16,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0
Verständlichkeit,16,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,2,0,0,4,0,3,0,0,0,0,0
Personalcontrolling,16,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hybrides System,16,4,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schulbau,16,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Erdrutsch,16,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyurethane,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,2
Nucleinsäuren,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,6,0,0,0,5,0,0,0,0
Meeresverschmutzung,16,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,3,0,1,0,0
Chemometrie,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Klebstoff,16,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
Selbstwertgefühl,16,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychosoziale Betreuung,16,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0
Komposition Musik,16,0,0,0,0,0,0,0,0,1,0,3,1,0,5,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
Unternehmenszusammenschluss,16,0,0,0,0,0,0,0,0,2,0,1,9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Musterbildung,16,0,0,1,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,1,0,0
Vektoranalysis,16,0,0,0,2,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gothic novel,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0
Öffentliche Ausgaben,15,0,0,0,0,0,0,0,0,3,0,0,8,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krisenintervention,15,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0
Lehrveranstaltung,15,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0
Haut,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,3,0,0,0,3
Hochtemperatursupraleitung,15,0,0,1,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Informationssicherheit,15,0,0,0,0,0,0,0,0,0,1,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monarchie,15,0,0,0,0,0,0,0,8,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betriebsübergang,15,0,0,0,0,0,0,0,0,3,0,0,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kernfusion,15,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Designer,15,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0
Musiktherapie,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,1,0,0,0
Unfallverhütung,15,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,3,0,2,0,3,1,0,0,0,0,1,0,0,0
Bankgeschäft,15,0,0,0,0,0,0,0,1,2,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Atmosphäre Stimmung,15,0,0,0,0,0,3,1,0,3,0,0,1,0,0,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0
Unvollkommene Information,15,1,0,0,0,0,0,0,0,0,0,4,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tagesbetreuung,15,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,8,0,0,1,0,0,1,0,1,0,0,0,0,0
Industriebau,15,0,1,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Biochemische Analyse,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,0,0,0,6,0,0,0,0
Impfstoff,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,4,3,2,0,0,0,1,0,0,0,0
SPSS für WINDOWS,15,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strafrechtsdogmatik,15,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pränatale Diagnostik,15,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0
Rockmusik,15,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,4,0,0,0,1,2,0,0,0,0,0
Philologie,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0
Hafenstadt,15,0,0,0,0,0,5,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
Suchmaschinenoptimierung,15,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kooperativer Führungsstil,15,1,0,0,0,0,0,0,0,2,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0
Scham,15,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0
Hydrothermalsynthese,15,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,0,0,0,0,0,0,0,0
Nahrung,15,0,0,0,0,0,0,2,2,4,0,0,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0
Politische Mobilisierung,15,0,0,0,0,0,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAP HANA,15,0,0,0,0,0,0,0,0,0,1,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ökotourismus,15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0
Robustheit,15,0,0,0,2,1,0,0,0,0,1,3,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gas,15,1,1,0,5,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Autobiografische Literatur,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0
Internationalität,15,0,0,0,0,0,0,0,2,1,0,0,3,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
Messwert,15,3,0,0,4,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Regelungstheorie,15,9,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardware,15,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qualitätssteigerung,15,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0
Wahlsystem,15,0,0,0,0,0,0,0,0,8,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fehlende Daten,15,0,0,0,0,0,0,0,0,4,0,0,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Gefüge Werkstoffkunde,15,1,2,3,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sicherheitsanalyse,15,1,1,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0
Salutogenese,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,4,1,0,0,0,0,0,0,2,0,0,0
Nichtverbale Kommunikation,15,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,5,0,0,2,0,0,2,1,1,0,0,0,0,0
Mittleres Lebensalter,15,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0
Pflichtverletzung,15,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demokratieprinzip,15,0,0,0,0,0,0,0,1,5,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ausgangsmaterial,15,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,5,5,0,0,0,0,0,0,0,0
Nichtlineare Mechanik,15,2,0,1,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Informationelles Selbstbestimmungsrecht,15,0,0,0,0,0,0,0,0,1,1,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebensbewältigung,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
Infrastrukturinvestition,15,0,0,0,0,0,1,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Parteienwettbewerb,15,0,0,0,0,0,0,0,3,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiffrierung,15,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metaanalyse,15,0,0,0,0,0,0,0,0,6,0,1,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Fußballfan,15,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Gewässersanierung,15,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0
Rentenversicherung,15,0,0,0,0,0,0,0,0,7,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantitative Analyse,15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,9,0,0,0,1,0,0,0,0
Jenseits,15,0,0,0,0,0,0,0,2,2,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bierherstellung,15,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0
Alkene,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
Hydroaminierung,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Materie,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Lignocellulose,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,1,0,0,0,0
Kühlung,15,0,4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,1,2,1,0,0,0,0,0,0,0,0
Ausbeutung,15,0,0,0,0,0,0,1,2,4,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Tiefenpsychologie,15,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0
Transitional Justice,15,0,0,0,0,0,0,0,1,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Öffentliche Aufgaben,15,0,0,0,0,0,0,0,0,5,0,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cascading Style Sheets 3.0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interpolation,15,0,0,0,2,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprecherziehung,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,6,0,1,0,0,0,0,0
Würde,15,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,3,0,1,0,0,0,0,3,0,1,0,0,0,0
Nanokristall,15,2,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0
Religiöse Erfahrung,15,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
Massenpsychologie,15,0,0,0,0,0,1,0,0,7,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0
Politisches Ziel,15,0,0,0,0,0,0,0,3,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Graphische Benutzeroberfläche,15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programmierumgebung,15,0,0,0,0,0,0,0,0,0,1,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energiespeicher,15,0,7,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erschöpfbare Ressourcen,15,0,1,0,0,0,1,3,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Berufssoziologie,15,1,0,0,0,0,0,0,1,4,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Flugsicherung,15,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Kindersoziologie,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimesis,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,4,5,0,0,0,0,0
Kulturpädagogik,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0
Hospizbewegung,15,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0
Palliativpflege,15,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
Trennung,15,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0
Große Koalition,15,0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philosophy of Mind,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,7,0,0,0,0,0,0
Schwerbehinderung,15,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
Körperliche Aktivität,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0
Fahrrad,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0
Informationsfreiheit,15,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Langzeitverhalten,15,1,0,1,0,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stadtgrün,15,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fenster,15,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdichtungsstoff,15,0,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,3,0,0,0
Öffentlicher Verkehr,15,0,0,0,0,0,4,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Angewandte Geophysik,15,0,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Finanzinstrument,15,0,0,0,0,0,0,0,0,0,0,0,10,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reichtum,15,0,0,0,0,0,0,1,3,5,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Informations- und Dokumentationswissenschaft,15,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Mitgliedschaft,15,0,0,0,0,0,0,0,2,7,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Studienanfang,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Personalbeurteilung,15,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aufreinigung,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Transkulturelle Psychiatrie,15,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
Verkehrswirtschaft,15,0,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Konversion Religion,15,0,0,0,0,0,0,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Persistenz,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
Chemische Ökologie,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
Ereignisdatenanalyse,15,0,0,0,0,0,0,1,0,2,0,2,0,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0
Perkolationstheorie,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Diskriminierungsverbot,15,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Staatsbürger,15,0,0,0,0,0,0,0,2,9,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beendigung,15,0,0,0,0,0,0,0,3,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biocomputer,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Technische Mathematik,15,3,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pressefreiheit,15,0,0,0,0,0,0,0,2,1,0,0,0,1,6,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0
Bioanorganische Chemie,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,6,0,0,0,0
Kommunale Sozialpolitik,15,0,0,0,0,0,4,2,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Gleichheitssatz,15,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benutzererlebnis,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penetrationstest,15,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lüftungstechnik,15,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwareprodukt,15,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Geschlechterverhältnis Motiv,15,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0
Gewaltlosigkeit,15,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
Sprachursprung,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,6,0,0,0,0,0
Volkskultur,15,0,0,0,0,0,0,0,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Einsamkeit,15,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0
Angstbewältigung,15,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0
Piezoelektrizität,15,1,1,2,4,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rechtssystem,15,0,0,0,0,0,0,0,1,3,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesundheitspsychologie,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,5,0,0,0,0,1,0,0,1,0,0,0
Metrischer Raum,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weltraumrecht,15,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Stochastisches System,15,3,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erdgasgewinnung,15,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0
Stahlbeton,15,1,0,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dritter,15,1,0,0,0,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gedenken,15,1,0,0,0,0,1,0,6,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Schulforschung,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Molekülphysik,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Seeräuberei,15,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Identitätspolitik,15,0,0,0,0,0,0,0,1,10,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Justizvollzugsanstalt,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0
Strafzumessung,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konvektion,15,2,0,0,5,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Investitionsschutz,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutschung,15,0,0,0,1,2,0,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoffnung,15,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,0,0,3,2,0,0,0,0,0
Diskretes Ereignissystem,15,5,1,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Elektromotor,15,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0
Friedensbemühung,15,0,0,0,0,0,0,1,2,8,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Thermomanagement Kraftfahrzeugtechnik,15,1,3,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Führungstheorie,15,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
