Subject,Overall Frequency,tec,mas,fer,phy,bau,arc,geo,his,sow,elt,inf,oek,rel,jur,mat,pae,hor,meda,rest,cet,che,lin,phi,lit,bio,spo,ver,ber,med
Computersicherheit,395,1,0,0,0,0,0,0,0,11,20,289,29,0,14,16,8,0,2,2,0,0,0,0,0,0,0,3,0,0
Wirtschaftswissenschaften,385,2,0,0,0,0,0,0,3,15,0,25,233,0,4,91,5,0,0,1,0,0,0,6,0,0,0,0,0,0
Soziale Ungleichheit,382,1,0,0,0,0,5,8,19,213,0,0,42,3,4,1,72,0,6,1,1,0,0,6,0,0,0,0,0,0
Grundschule,374,3,0,0,1,0,0,0,4,41,0,1,0,10,1,35,213,0,0,4,0,0,35,4,13,4,5,0,0,0
Film,371,3,0,0,1,0,3,2,41,46,2,1,2,7,2,0,12,0,3,152,0,0,26,1,66,0,0,1,0,0
Christentum,371,0,0,0,0,0,1,0,43,47,0,1,2,227,4,0,15,0,1,3,0,0,1,19,4,3,0,0,0,0
Methode,369,7,3,2,3,4,2,25,9,80,0,5,29,12,2,25,61,3,4,17,7,14,14,11,12,16,0,0,1,1
Personalentwicklung,368,8,0,0,0,0,0,2,0,128,0,5,149,0,0,2,66,0,4,0,0,0,0,1,0,0,3,0,0,0
Sozialwissenschaften,362,5,0,0,0,0,2,4,6,188,0,10,30,2,10,42,33,0,0,7,0,0,4,16,2,0,0,1,0,0
Wissensmanagement,359,24,1,0,0,0,4,3,0,33,0,88,137,0,1,6,50,1,3,4,1,0,0,1,0,0,0,2,0,0
Pädagogik,357,0,0,0,0,2,4,0,4,66,0,2,3,3,2,1,233,1,2,6,0,0,7,14,6,0,1,0,0,0
Juden,355,1,0,0,1,0,2,1,193,59,0,0,1,36,2,1,7,0,2,3,1,1,3,4,34,0,1,2,0,0
Electronic Commerce,353,1,0,0,0,0,2,0,0,16,4,101,183,0,12,4,22,2,0,3,0,0,1,0,0,0,1,1,0,0
Organisation,353,1,1,0,0,1,2,0,4,102,0,10,126,0,11,1,78,0,2,4,1,0,2,3,1,1,2,0,0,0
Forschung,346,7,0,0,8,3,10,4,18,75,1,6,28,7,20,3,76,1,15,21,0,2,8,14,8,8,1,2,0,0
Geschlechterrolle,346,2,0,0,0,1,1,1,35,180,0,2,16,19,0,0,52,0,4,2,0,0,11,6,11,1,2,0,0,0
Prävention,345,4,1,1,1,3,8,7,4,94,0,3,24,5,37,0,99,2,34,6,4,1,0,0,1,0,6,0,0,0
Drittes Reich,342,3,0,0,0,0,6,1,168,103,0,0,4,9,10,0,9,0,8,6,0,0,2,1,10,0,0,2,0,0
Controlling,341,9,2,0,0,0,0,0,0,10,1,32,233,0,0,3,36,0,10,2,1,0,1,0,0,1,0,0,0,0
Gesundheitswesen,339,0,0,0,0,0,1,3,12,33,1,10,50,1,13,22,18,0,151,5,1,0,1,1,1,0,2,0,0,13
Entwicklung,339,3,1,2,1,1,4,11,29,108,1,10,58,6,7,4,54,3,10,7,3,0,2,7,2,3,1,1,0,0
Schüler,339,0,0,0,3,0,0,7,3,74,0,0,4,9,2,6,192,1,2,3,1,1,15,2,11,1,2,0,0,0
Deutschunterricht,338,0,0,0,0,0,0,0,1,10,0,1,0,0,0,4,126,0,0,1,0,0,117,0,78,0,0,0,0,0
Kapitalismus,337,4,1,0,0,0,3,4,22,137,0,2,113,3,4,0,13,1,2,3,3,0,0,18,2,1,1,0,0,0
Data Mining,336,2,0,0,1,1,0,1,0,4,0,237,30,0,4,33,2,0,6,9,0,0,0,0,0,3,0,2,1,0
Erneuerbare Energien,336,7,119,0,2,13,23,14,0,6,29,1,69,0,15,1,1,5,0,6,13,6,0,0,0,1,0,5,0,0
Strömungsmechanik,335,119,2,1,145,2,0,8,0,0,1,3,0,0,0,41,0,0,0,0,8,0,0,0,0,0,0,2,3,0
Big Data,334,4,0,0,2,2,8,7,3,25,0,180,27,0,12,32,4,0,12,6,0,0,0,3,0,2,0,3,0,2
Wirtschaftstheorie,333,2,0,0,0,0,1,1,4,52,0,4,199,0,1,3,5,48,0,2,0,0,0,5,3,0,2,1,0,0
Finite-Elemente-Methode,331,63,11,12,68,8,0,6,0,0,11,13,1,0,0,106,0,0,9,3,4,1,0,0,0,0,2,6,0,7
Städtebau,325,0,0,0,0,10,201,39,30,27,0,1,1,1,2,0,2,1,0,2,2,0,0,0,1,0,1,4,0,0
Staat,323,1,0,0,0,0,1,11,46,120,0,0,21,56,35,0,7,2,1,3,0,0,1,16,2,0,0,0,0,0
Internationale Politik,321,2,1,0,1,0,1,3,59,196,0,2,18,7,17,0,0,0,0,1,5,0,0,8,0,0,0,0,0,0
Risikomanagement,319,6,0,0,0,10,8,5,1,18,0,21,161,0,11,9,51,1,5,2,8,0,0,0,0,0,0,1,0,1
Menschenrecht,318,0,0,0,0,0,1,3,12,87,0,0,9,14,160,0,14,0,2,2,0,0,0,13,1,0,0,0,0,0
Sprache,317,0,0,0,1,0,0,1,8,32,0,4,2,8,1,3,19,0,0,3,0,0,130,13,91,1,0,0,0,0
Arbeitsmarkt,311,9,0,0,0,0,2,6,6,77,0,0,167,0,3,0,35,1,3,2,0,0,0,0,0,0,0,0,0,0
Arbeitswelt,311,21,0,0,1,1,4,2,4,77,0,8,93,0,6,0,79,0,5,2,0,0,0,5,2,0,0,1,0,0
Gewalt,310,7,0,0,0,0,0,3,50,134,0,4,1,29,16,0,35,0,3,3,0,0,4,11,7,0,3,0,0,0
Bildverarbeitung,308,6,4,0,8,0,0,13,0,0,16,178,2,0,0,32,1,2,23,3,3,3,0,0,0,4,0,1,1,8
Numerisches Verfahren,307,27,6,1,65,2,0,6,0,0,10,18,5,0,1,148,0,0,3,2,4,3,0,0,0,2,0,4,0,0
Massenmedien,307,3,2,0,0,0,5,2,21,114,0,6,10,10,8,0,25,0,3,69,0,0,11,3,14,0,1,0,0,0
Prozessmanagement,305,13,1,0,0,7,6,0,0,9,4,65,138,0,1,11,41,0,4,2,1,0,0,0,0,0,0,2,0,0
Ästhetik,299,2,0,1,0,1,25,1,8,21,1,3,2,8,0,1,29,0,1,43,1,0,29,63,57,2,0,0,0,0
Familie,298,1,0,0,0,0,1,3,27,128,0,1,15,8,13,1,66,0,4,0,0,0,1,2,27,0,0,0,0,0
Europäische Integration,298,0,0,0,0,0,0,7,54,169,0,0,18,4,34,1,5,0,0,1,0,0,1,1,1,0,0,2,0,0
Kolonialismus,297,2,0,0,0,0,4,4,136,102,0,0,6,16,4,0,2,0,1,5,0,0,3,3,9,0,0,0,0,0
Judenvernichtung,293,1,0,0,0,0,2,1,160,85,0,0,0,9,3,0,9,0,1,3,0,0,4,3,11,1,0,0,0,0
